source,tender_id,title,title_en,department,budget,winning_bid,winner_name,winner_tax_id,method,category,announcement_date,submission_deadline,award_date,tor_url,tor_text,announcement_url,num_bidders,status,scraped_at
BMA,69079216040,จ้างเหมาทำอาหารเช้า อาหารกลางวัน สำหรับนักเรียนระดับชั้นอนุบาล 1 ถึงมัธยมศึกษาปีที่ 3 ของโรงเรียนสุเหร่าซีรอ (ราษฎร์สามัคคี) จำนวน 5 วันทำการ ระหว่างวันที่ 13-17 กรกฎาคม 2569 โดยวิธีเฉพาะเจาะจง,,สำนักงานเขตสะพานสูง,146000.0,,,,specific,goods,2026-07-09,,2026-07-09,,,https://egp2.bangkok.go.th/project-detail/c32388ed-eb3f-47bd-bb0e-2baab994e8eb,,open,2026-07-10T08:17:59.171131+00:00
BMA,69079209819,จ้างเหมาทำอาหารเช้า อาหารกลางวัน (ปรุงสำเร็จ) สำหรับนักเรียนโรงเรียนประชาอุทิศ (จันทาบอนุสรณ์) (วันที่ ๑๓-๑๗ กรกฎาคม ๒๕๖๙) โดยวิธีเฉพาะเจาะจง,,สำนักงานเขตดอนเมือง,444055.0,,,,specific,goods,2026-07-09,,2026-07-09,,,https://egp2.bangkok.go.th/project-detail/25fd2965-269e-48ba-a185-4917433a95a7,,open,2026-07-10T08:18:06.956275+00:00
BMA,69079205314,น้ำยาตรวจ Prolactin จำนวน 3 กล่อง,,สำนักอนามัย,48150.0,,,,specific,goods,2026-07-09,,,,,https://egp2.bangkok.go.th/project-detail/640c9888-0d0e-4ab9-9fc7-abf7085d9ce3,,open,2026-07-10T08:18:15.099734+00:00
BMA,69079205277,วัสดุตรวจวิเคราะห์ทางภูมิคุ้มกันวิทยา จำนวน 4 รายการ,,สำนักอนามัย,51852.0,,,,specific,goods,2026-07-09,,,,,https://egp2.bangkok.go.th/project-detail/1cb1504b-90de-4076-beea-905bad6bd9fc,,open,2026-07-10T08:18:24.057231+00:00
BMA,69079205019,จ้างเหมาตัดเย็บชุดพละและชุดลูกเสือยุวกาชาด ชั้น อ.1-ม.3 สำหรับนักเรียนโรงเรียนบางแคเหนือ จำนวน 464 ชุด โดยวิธีเฉพาะเจาะจง,,สำนักงานเขตบางแค,211950.0,,,,specific,goods,2026-07-09,,2026-07-09,,,https://egp2.bangkok.go.th/project-detail/3b5f1a98-44bf-4978-ae78-46b5600924cb,,open,2026-07-10T08:18:32.984565+00:00
BMA,69079204585,จ้างเหมาประกอบอาหารเช้า กลางวัน(ปรุงสำเร็จ) สำหรับนักเรียนโรงเรียนวัดเวฬุวนาราม(สินทรัพย์-เพ็ญสุวรรณอนุสรณ์) วันที่ 13-17 กรกฎาคม 2569,,สำนักงานเขตดอนเมือง,239075.0,,,,specific,goods,2026-07-09,,2026-07-09,,,https://egp2.bangkok.go.th/project-detail/f02d2f88-2eb5-4a29-ab49-dad4e04ab52d,,open,2026-07-10T08:18:40.216469+00:00
BMA,69079203782,จัดซื้อวัสดุอุปกรณ์คอมพิวเตอร์ จำนวน 4 รายการ,,สำนักงานเขตวัฒนา,77729.0,77330.0,,,specific,goods,2026-07-09,,2026-07-09,,,https://egp2.bangkok.go.th/project-detail/00c5bc8b-3c59-49bb-832f-d824e7bf209b,,open,2026-07-10T08:18:48.870688+00:00
BMA,69079191264,จ้างเหมาซ่อมเครื่องดนตรีและอุปกรณ์ จำนวน 7 เครื่อง,,สำนักงานเขตหนองแขม,20000.0,,,,specific,goods,2026-07-09,,2026-07-09,,,https://egp2.bangkok.go.th/project-detail/cd043ae5-9131-4787-bdcb-ef96470f9880,,open,2026-07-10T08:18:57.212212+00:00
BMA,69079185843,ซื้อเวชภัณฑ์ จำนวน ๑ รายการ,,สำนักการแพทย์,374500.0,,,,specific,goods,2026-07-09,,2026-07-09,,,https://egp2.bangkok.go.th/project-detail/cb489dc8-4e59-4aa8-aa1b-54b470ed8b92,,open,2026-07-10T08:19:05.000920+00:00
BMA,69079180703,ยา จำนวน 10 รายการ,,สำนักการแพทย์,25951.0,,,,specific,goods,2026-07-09,,2026-07-09,,,https://egp2.bangkok.go.th/project-detail/16412394-1c1b-4b43-8085-4f5fb0096ac8,,open,2026-07-10T08:19:27.409489+00:00
