source,tender_id,title,title_en,department,budget,winning_bid,winner_name,winner_tax_id,method,category,announcement_date,submission_deadline,award_date,tor_url,tor_text,announcement_url,num_bidders,status,scraped_at
EGAT,69039311772,งานซื้อพร้อมติดตั้งงาน ปรับปรุง Protection Relay โรงไฟฟ้าเขื่อนห้วยกุ่ม (จำนวน ๑ รายการ) ปรับปรุง Unit Control โรงไฟฟ้าเขื่อนห้วยกุ่ม (จำนวน ๑ รายการ) และปรับปรุง Governor Control (จำนวน ๑ รายการ) จำนวน ๑ งาน   หจฟอ-ห. (ซ) ๗/๒๕๖๙,,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างและบริหารพัสดุโรงไฟฟ้าพลังน้ำภาคตะวันออกเฉียงเหนือ,,,,,E-BIDDING-พ.ร.บ.,,2026-07-07,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88796,,open,2026-07-10T08:22:29.479761+00:00
EGAT,EGAT-88833,จ้างติดตั้งและเดินสาย Fiber Optic จากตู้ Merging Unit (MU) ไปยัง Control Room สฟ.สตูล,,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างและบริหารพัสดุฝ่ายปฏิบัติการภาคใต้,,,,,สอบราคา,,2026-07-10,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88833,,open,2026-07-10T08:22:29.479796+00:00
EGAT,EGAT-88834,ซื้อ GEO5 Package Foundation and Rock Stability,,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุส่วนกลาง รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างสายงานระบบส่ง 3,,,,,วิธีพิเศษ,,2026-07-10,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88834,,open,2026-07-10T08:22:29.479811+00:00
EGAT,EGAT-88822,"งานจัดหาและก่อสร้างสายส่ง 230 kV ชลบุรี 2 - บ่อวิน 
(ช่วงเสาต้นที่ 19 &ndash; 21) (Job No. TS12-11-L07)",,รองผู้ว่าการพัฒนาระบบส่ง ผู้ช่วยผู้ว่าการก่อสร้างระบบส่ง โครงการก่อสร้างขยายและเสริมความมั่นคงระบบส่งไฟฟ้า รองผู้ว่าการพัฒนาระบบส่ง,,,,,e-bidding,,2026-07-09,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88822,,open,2026-07-10T08:22:29.479831+00:00
EGAT,EGAT-88820,"ซื้อ Acrylic Acid/2-Acrylamido Methyl Propyl Sulfonic Acid Co-Polymer (AA/AMPS Co-polymer-HPC) ตาม CAS No. 40623-75-4 จำนวน 125,000 กิโลกรัม เพื่อส่งมอบตามสัญญา Operation and Maintenance Agreement สำหรับโรงไฟฟ้าพลังความร้อนลิกไนต์หงสา เมืองหงสา แขวงไซยะบุรี สปป.ลาว เลขที่ กฟผ.(กจธ.)-ซ.7/2569",,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุส่วนกลาง รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างสายงานธุรกิจเกี่ยวเนื่อง 1,,,,,e-bidding,,2026-07-09,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88820,,open,2026-07-10T08:22:29.479845+00:00
EGAT,EGAT-88827,งานจัดหาทดแทนระบบพยากรณ์การผลิตไฟฟ้าจากพลังงานหมุนเวียน ที่ศูนย์ REFC และ DRCC (เลขที่ กฟผ. (กจส.) -  ซ.13/2569),,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุส่วนกลาง รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างสายงานระบบส่ง 1,,,,,e-bidding,,2026-07-09,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88827,,open,2026-07-10T08:22:29.479858+00:00
EGAT,EGAT-88825,งานก่อสร้างซ่อมแซมกำแพงกันดินพร้อมรั้วคอนกรีตบล็อกและรางระบายน้ำ สฟ.ยะลา1 ด้านทิศเหนือ ความยาวประมาณ 20 เมตร,,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างและบริหารพัสดุฝ่ายปฏิบัติการภาคใต้,,,,,สอบราคา,,2026-07-09,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88825,,open,2026-07-10T08:22:29.479869+00:00
EGAT,69069144166,ประกวดราคาจ้างก่อสร้างงานปรับปรุงอาคารสราญนที ศูนย์ฝึกอบรมแม่เมาะ จำนวน 1 งาน (1200199718) ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างเหมืองแม่เมาะ,,,,,E-BIDDING-พ.ร.บ.,,2026-07-09,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88831,,open,2026-07-10T08:22:29.479882+00:00
EGAT,EGAT-88803,ซื้อรองเท้านิรภัย จำนวน 2 รายการ (PR.1400180720) ใบสอบราคาเลขที่ 1000247700,,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างโรงไฟฟ้าแม่เมาะ,,,,,สอบราคา,,2026-07-07,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88803,,open,2026-07-10T08:22:31.115542+00:00
EGAT,EGAT-88808,ซื้อ Mechanical Seal for Absorber Recirculation Pump FGD.14,,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างโรงไฟฟ้าแม่เมาะ,,,,,วิธีพิเศษ,,2026-07-07,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88808,,open,2026-07-10T08:22:31.115584+00:00
