source,tender_id,title,title_en,department,budget,winning_bid,winner_name,winner_tax_id,method,category,announcement_date,submission_deadline,award_date,tor_url,tor_text,announcement_url,num_bidders,status,scraped_at
MEA,69069204190,"ซื้อหางปลาทองแดง (Copper Terminal Lug) มี 2 รู สำหรับใช้กับสายทองแดงขนาด 120 ตร.มม. (Code 6145-093-12020) จำนวน 15,000 อัน",,ฝ่ายจัดหา (ฝจห.),3195555.0,,,,e-bidding,goods,2026-06-24,2026-07-02,,,,https://procurement.mea.or.th/Procurement/Detail/8bb00007-f30e-4c3f-b184-3d198bb244e2,,open,2026-06-25T07:34:04.330709+00:00
MEA,MD9-P015-WGZ,"ซื้อยา Epoetin alfa 4000 IU powder and solvent for solution for injection จำนวนประมาณ 1,900 vial",,ฝ่ายการแพทย์ (ฝกพ.),609900.0,,,,e-bidding,goods,2026-06-24,2026-07-02,,,,https://procurement.mea.or.th/Procurement/Detail/0ef1fb44-c7c6-4f15-84a5-f09973e3a136,,open,2026-06-25T07:34:06.294986+00:00
MEA,MD9-P012-WGZ,"ซื้อยา Rosuvastatin 20 mg film-coated tablet จำนวนประมาณ 89,500 เม็ด",,ฝ่ายการแพทย์ (ฝกพ.),766120.0,,,,e-bidding,goods,2026-06-24,2026-07-02,,,,https://procurement.mea.or.th/Procurement/Detail/ce29f82f-925a-4e10-a81f-f3fa2709762c,,open,2026-06-25T07:34:08.320242+00:00
MEA,MD9-P011-WGZ,"ซื้อยา Rosuvastatin 10 mg film-coated tablet จำนวนประมาณ 160,000 เม็ด",,ฝ่ายการแพทย์ (ฝกพ.),1148800.0,,,,e-bidding,goods,2026-06-24,2026-07-02,,,,https://procurement.mea.or.th/Procurement/Detail/97d7f808-edc8-40b8-9dc4-4a0be3c2e068,,open,2026-06-25T07:34:09.951879+00:00
MEA,กสฟ.จซ.002/2569,งานปรับปรุงพื้นถนนทางเข้าและบริเวณโดยรอบสถานีย่อยรามอินทรา,,ฝ่ายควบคุมระบบไฟฟ้า (ฝคฟ.),1417750.0,,,,e-bidding,works,2026-06-24,2026-06-30,,,,https://procurement.mea.or.th/Procurement/Detail/bff16271-48ad-419f-b589-d89d11044ef8,,open,2026-06-25T07:34:11.784727+00:00
MEA,ฝกส.(จ.),ซื้อ Terminator 115 kV for After installation test จำนวน 6 ชุด สำหรับใช้งานที่แผนกสายใต้ดิน 2 กองติดตั้งอุปกรณ์และสายใต้ดิน ฝ่ายก่อสร้าง,,ฝ่ายก่อสร้าง (ฝกส.),513600.0,,,,e-bidding,works,2026-06-23,2026-07-01,,,,https://procurement.mea.or.th/Procurement/Detail/445fb3c3-f61b-4305-862c-a35938037a27,,open,2026-06-25T07:34:14.292549+00:00
MEA,69059508087,"ประกวดราคาซื้อ Machine Bolt ขนาดเส้นผ่านศูนย์กลาง 5/8 นิ้ว ยาว 12 นิ้ว (Code 5605-005-51200) จำนวน 250,000 ชุด",,ฝ่ายจัดหา (ฝจห.),14124000.0,,,,e-bidding,goods,2026-06-23,2026-07-12,,,,https://procurement.mea.or.th/Procurement/Detail/e47dff12-d904-4b9e-87fe-6c136ea31cce,,open,2026-06-25T07:34:15.842040+00:00
MEA,ID9-4601-WGZ,ADSS-FR Optical Fiber Cable 6 Fibers,,ฝ่ายระบบโครงสร้างพื้นฐาน (ฝคฐ.),3210000.0,,,,e-bidding,goods,2026-06-23,2026-07-01,,,,https://procurement.mea.or.th/Procurement/Detail/bfd53bc0-4d2f-40bb-a09e-11b3aecbf89a,,open,2026-06-25T07:34:17.457919+00:00
MEA,ID9-4602-WGZ,ADSS-FR Optical Fiber Cable 12 Fibers,,ฝ่ายระบบโครงสร้างพื้นฐาน (ฝคฐ.),4280000.0,,,,e-bidding,goods,2026-06-23,2026-07-01,,,,https://procurement.mea.or.th/Procurement/Detail/95986a76-4540-4f02-9262-6b0b2fff9272,,open,2026-06-25T07:34:19.172697+00:00
MEA,ฝกส.038/2569,งานติดตั้งสัญญาณไฟจราจรและช่วยกองงาน สำหรับงานก่อสร้างสายไฟฟ้าใต้ดิน ในพื้นที่ระบบจำหน่ายการไฟฟ้านครหลวง,,ฝ่ายก่อสร้าง (ฝกส.),2200000.0,,,,e-bidding,works,2026-06-23,2026-07-01,,,,https://procurement.mea.or.th/Procurement/Detail/9b0ab987-4945-48db-97c1-07031d212314,,open,2026-06-25T07:34:21.494952+00:00
MEA,ID9-4606-WGZ,ADSS-FR Optical Fiber Cable 216 Fibers,,ฝ่ายระบบโครงสร้างพื้นฐาน (ฝคฐ.),1070000.0,,,,e-bidding,goods,2026-06-23,2026-07-01,,,,https://procurement.mea.or.th/Procurement/Detail/f4b0d1da-b963-4026-8494-101e1f2caa6d,,open,2026-06-25T07:34:23.399451+00:00
MEA,4169-700-02X,ประกวดราคา ซื้อรถบรรทุกกระบะสำเร็จรูป 6 ตัน 6 ล้อ พร้อมติดตั้งคานบรรทุกเสา (CARGO TRUCK) จำนวน 9 คัน,,ฝ่ายจัดการยานพาหนะและเครื่องมือกล (ฝจย.),28601100.0,,,,e-bidding,works,2026-06-23,2026-07-06,,,,https://procurement.mea.or.th/Procurement/Detail/cea6e9bc-c986-4d52-a6ab-358b910a64b7,,open,2026-06-25T07:34:26.282272+00:00
MEA,69059219084,"24 kV Current Transformer, outdoor type, single ratio 10/5 A (Code 6120-627-01000) จำนวน 1,200 ชุด",,ฝ่ายจัดหา (ฝจห.),29869050.0,,,,e-bidding,goods,2026-06-22,2026-07-07,,,,https://procurement.mea.or.th/Procurement/Detail/c1f9a719-78b3-4311-b098-d4fcf40b196a,,open,2026-06-25T07:34:27.397517+00:00
MEA,ฝกส.191/2568,งานก่อสร้างท่อร้อยสายไฟฟ้าใต้ดิน งานในนามสำนักการระบายน้ำ กองระบบท่อระบายน้ำ ณ บริเวณบ่อสูบน้ำ ถนนพิษณุโลก,,ฝ่ายก่อสร้าง (ฝกส.),2162000.0,,,,e-bidding,works,2026-06-21,2026-06-29,,,,https://procurement.mea.or.th/Procurement/Detail/3b349706-540a-4ea2-b91a-282a07c531fb,,open,2026-06-25T07:34:29.105544+00:00
MEA,69059153497,"ซื้อตู้เหล็กใส่มิเตอร์ (Steel Meter Box) (Code 5210-682-20000) จำนวน 22,000 ใบ",,ฝ่ายจัดหา (ฝจห.),30727703.6,,,,e-bidding,goods,2026-06-21,2026-07-01,,,,https://procurement.mea.or.th/Procurement/Detail/2ba28f79-f0c4-44db-a7af-4bfc42700467,,open,2026-06-25T07:34:30.316881+00:00
MEA,68099635361,ประกวดราคาซื้อMV Containerized GIS และอุปกรณ์ประกอบอื่นๆ พร้อมติดตั้งสำหรับสถานีย่อยยานนาวา สนามบินน้ำ และคลองใหม่ ตามรหัสจัดหาเลขที่ MP8-8926-ABX ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),,ฝ่ายจัดหา (ฝจห.),199854600.0,,,,e-bidding,works,2026-06-21,2026-07-20,,,,https://procurement.mea.or.th/Procurement/Detail/81331a41-3110-40df-b3ac-bc3e665bed9b,,open,2026-06-25T07:34:32.262682+00:00
MEA,3/2569,จ้างออกแบบปรับปรุงสถานีไฟฟ้าที่ สถานีย่อยคลองสนามชัย สถานีย่อยปากเกร็ด สถานีย่อยบางชัน และสถานีย่อยเกษตร,,ฝ่ายควบคุมระบบไฟฟ้า (ฝคฟ.),1019710.0,,,,works,consulting,2026-06-21,2026-06-28,,,,https://procurement.mea.or.th/Procurement/Detail/b0595df7-e7ce-4f9c-991d-a4c7c75f5612,,open,2026-06-25T07:34:34.444486+00:00
MEA,69059347622,ประกวดราคาซื้อPower Quality Analyzer จำนวน 22 ชุด,,ฝ่ายจัดหา (ฝจห.),7943573.0,,,,e-bidding,goods,2026-06-21,2026-07-06,,,,https://procurement.mea.or.th/Procurement/Detail/02146c3b-1727-47fa-a477-17c6bd1ea6b5,,open,2026-06-25T07:34:36.385928+00:00
MEA,69069227799,ประกวดราคาซื้อCeramic Spacer with Plastic Clamp type 1 (Code 6145-255-00714) จำนวน 400 ชุด,,ฝ่ายจัดหา (ฝจห.),812130.0,,,,e-bidding,goods,2026-06-21,2026-06-29,,,,https://procurement.mea.or.th/Procurement/Detail/a208b196-6d02-447d-9658-ac135f8cfa50,,open,2026-06-25T07:34:37.534084+00:00
MEA,ฝกส.037/2569,งานก่อสร้างท่อร้อยสายไฟฟ้าใต้ดิน ในนาม บริษัท เมืองไทยประกันชีวิต จำกัด (มหาชน) ณ บริเวณถนนเจริญกรุง,,ฝ่ายก่อสร้าง (ฝกส.),1413000.0,,,,e-bidding,works,2026-06-21,2026-06-29,,,,https://procurement.mea.or.th/Procurement/Detail/bf2e62d5-4b30-4d78-8941-c59c1a28e9d8,,open,2026-06-25T07:34:39.624588+00:00
MEA,MP8-8923-BBX,HV GIS และอุปกรณ์ประกอบอื่นๆ พร้อมติดตั้งสำหรับสถานีย่อยธนบุรี,,ฝ่ายจัดหา (ฝจห.),245550020.0,,,,e-bidding,works,2026-06-18,2026-07-19,,,,https://procurement.mea.or.th/Procurement/Detail/5b245b62-26a7-45b3-9ca4-c4d700d0ad1c,,open,2026-06-25T07:34:41.486767+00:00
