source,tender_id,title,title_en,department,budget,winning_bid,winner_name,winner_tax_id,method,category,announcement_date,submission_deadline,award_date,tor_url,tor_text,announcement_url,num_bidders,status,scraped_at
PEA,68079540287,จัดซื้อและอนุญาตให้ใช้สิทธิในโปรแกรมคอมพิวเตอร์ระบบบันทึกและตรวจสอบสิทธิการเข้าถึงระบบสารสนเทศและอุปกรณ์เครือข่าย (Privileged Access Management),,,1435137.5,,,,e-bidding,goods,2025-08-07,2025-08-19,,https://bidding.pea.co.th/sites/default/files/procurements/2025-08/636cf0d2-115f-4831-9d01-aaac2e18af2d/PEA-229907-Annoucement.pdf,,https://bidding.pea.co.th/procurement/636cf0d2-115f-4831-9d01-aaac2e18af2d,,closed,2026-07-10T08:21:43.262855+00:00
PEA,68079235291,จัดจ้างบริการบำรุงรักษาและซ่อมแซมแก้ไขอุปกรณ์หาเส้นทางบนเครือข่ายอินเตอร์เน็ตพร้อมอุปกรณ์ประกอบ จำนวน 1 ระบบ,,,8727187.5,,,,e-bidding,works,2025-08-05,2025-08-22,,https://bidding.pea.co.th/sites/default/files/procurements/2025-08/2879e750-895f-4528-bef0-ecfe10663719/PEA-229878-Annoucement.pdf,,https://bidding.pea.co.th/procurement/2879e750-895f-4528-bef0-ecfe10663719,,closed,2026-07-10T08:21:45.914913+00:00
PEA,68049056483,ประกวดราคาจ้างเหมาบริหารจัดการอาคารและสถานที่ ศูนย์ฝึกปฏิบัติการไฟฟ้าเเรงสูง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),,,25991370.0,,,,e-bidding,works,2025-07-29,2025-08-22,,https://bidding.pea.co.th/sites/default/files/procurements/2025-08/80712e99-917d-4469-ad0b-da3c00c1fd91/PEA-229887-Annoucement_0.pdf,,https://bidding.pea.co.th/procurement/80712e99-917d-4469-ad0b-da3c00c1fd91,,cancelled,2026-07-10T08:21:47.246748+00:00
PEA,68069282846,จัดซื้อและอนุญาตให้ใช้สิทธิในโปรแกรมคอมพิวเตอร์ระบบเชื่อมต่อระหว่างเครือข่าย IPv4 และ IPv6 (NAT64 และ DNS64) จำนวน 1 ระบบ,,,9948860.0,,,,e-bidding,goods,2025-07-08,2025-07-25,,https://bidding.pea.co.th/sites/default/files/procurements/2025-07/6b2d3389-4a2b-433d-bbe4-6a0ac1123e91/PEA-229457-Annoucement.pdf,,https://bidding.pea.co.th/procurement/6b2d3389-4a2b-433d-bbe4-6a0ac1123e91,,closed,2026-07-10T08:21:49.284013+00:00
PEA,68069387959,จัดซื้อและอนุญาตให้ใช้สิทธิในโปรแกรมคอมพิวเตอร์ระบบตรวจสอบประสิทธิภาพและความมั่นคงปลอดภัยระบบเครือข่ายสารสนเทศ (Network Security Validation) จำนวน 1 ระบบ,,,24620700.0,,,,e-bidding,goods,2025-07-08,2025-07-30,,https://bidding.pea.co.th/sites/default/files/procurements/2025-07/bc084ef6-009e-41e5-9891-a880a6bd3daa/PEA-229456-Annoucement.pdf,,https://bidding.pea.co.th/procurement/bc084ef6-009e-41e5-9891-a880a6bd3daa,,closed,2026-07-10T08:21:52.059932+00:00
PEA,68059384329,จัดจ้างบริการบำรุงรักษาและซ่อมแซมแก้ไขอุปกรณ์เครือข่ายแบบไร้สาย (Wireless LAN),,,8346000.0,,,,e-bidding,works,2025-07-02,2025-07-21,,https://bidding.pea.co.th/sites/default/files/procurements/2025-07/679c3c94-6a80-4264-8697-62fa8fc7de91/PEA-229235-Annoucement.pdf,,https://bidding.pea.co.th/procurement/679c3c94-6a80-4264-8697-62fa8fc7de91,,closed,2026-07-10T08:21:53.289377+00:00
PEA,68079009174,งาน กฟส.บสพ. - สำนักงานทรัพยากรบาดาล เขต 8 (ราชบุรี) - ประปาช่องลม,,,1147240.78,,,,e-bidding,goods,2025-07-01,2025-07-14,,https://bidding.pea.co.th/sites/default/files/procurements/2025-07/43816c7c-c6fc-463d-945b-c77b0f98bdd2/PEA-229178-Annoucement_0.pdf,,https://bidding.pea.co.th/procurement/43816c7c-c6fc-463d-945b-c77b0f98bdd2,,closed,2026-07-10T08:21:55.354337+00:00
PEA,68049369217,ประกวดราคาจ้างงานจ้างเหมาปรับปรุงความมั่นคงปลอดภัยไซเบอร์สำหรับสถานีไฟฟ้า ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),,,32207000.0,,,,e-bidding,works,2025-07-01,2025-07-09,,https://bidding.pea.co.th/sites/default/files/procurements/2025-07/1cbe4fe7-a213-4c8c-b2e8-cb97e31988ce/PEA-229064-Annoucement.pdf,,https://bidding.pea.co.th/procurement/1cbe4fe7-a213-4c8c-b2e8-cb97e31988ce,,closed,2026-07-10T08:21:57.182051+00:00
PEA,68039042393,งานจ้างปรับปรุงหลังคาอาคาร 10 และงานต่อเติมรั้วโครงตาข่ายพร้อมหลังคาระหว่างอาคาร 10 และอาคาร 40 กฟภ. สำนักงานใหญ่,,,,,,,e-bidding,works,2025-07-01,2025-07-08,,https://bidding.pea.co.th/sites/default/files/procurements/2025-06/6a4bc33b-6429-4067-a158-88ee8e43e85c/PEA-229014-Annoucement.pdf,,https://bidding.pea.co.th/procurement/6a4bc33b-6429-4067-a158-88ee8e43e85c,,closed,2026-07-10T08:21:58.615718+00:00
PEA,68059509790,จัดซื้อพัสดุขาดแคลนงานเปลี่ยนทดแทนอุปกรณ์ที่ชำรุดเสื่อมสภาพในระบบไฟฟ้า (HB.2000)ประจำปี 2567 และปี 2568 จำนวน 2 ราย,,,11363614.0,,,,e-bidding,goods,2025-06-30,2025-07-04,,https://bidding.pea.co.th/sites/default/files/procurements/2025-06/43261187-fda7-4051-829f-232322e5178c/PEA-229045-Annoucement.pdf,,https://bidding.pea.co.th/procurement/43261187-fda7-4051-829f-232322e5178c,,closed,2026-07-10T08:22:00.588161+00:00
