source,tender_id,title,title_en,department,budget,winning_bid,winner_name,winner_tax_id,method,category,announcement_date,submission_deadline,award_date,tor_url,tor_text,announcement_url,num_bidders,status,scraped_at
PWA,งานเช่ารถยนต์ต่อเนื่อง จำนวน 1,งานเช่ารถยนต์ต่อเนื่อง จำนวน 1 รายการ จำนวนรวม 7 คัน โดยวิธีเฉพาะเจาะจง,,,1180124.4,,"บริษัท แกรนด์ คาร์เร้นท์ จำกัด เสนอ 1,180,",,unknown,goods,,,,,,https://eprocurement.pwa.co.th/report/conclude-type-1,,awarded,2026-08-04T04:04:20.876517+00:00
PWA,งานวางท่อขยายเขตจำหน่ายน้ำ บ้า,"งานวางท่อขยายเขตจำหน่ายน้ำ บ้านภู-ภูมิ 3 บ้านบ่อปุ๊ เฟส 3,4,5 ตำบลดอนแก้ว อำเภอแม่ริม จังหวัดเชียงใหม่",,,479110.0,432500.0,ห้างหุ้นส่วนจำกัด เค ดี นำชัยการช่าง,,unknown,works,,,,,,https://eprocurement.pwa.co.th/report/conclude-type-1,,awarded,2026-08-04T04:04:20.876590+00:00
PWA,จ้างงานติดตั้งมาตรวัดน้ำขนาด 2,จ้างงานติดตั้งมาตรวัดน้ำขนาด 2 นิ้ว ให้กับ บริษัท โกลบอล เวลท์ พลัส จำกัด บ้านเลขที่ 293 ถนนมหิดล ตำบลช้างคลาน อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่,,,129518.0,61670.0,บจ.ธาร ธาราลัย เชียงใหม่,,unknown,works,,,,,,https://eprocurement.pwa.co.th/report/conclude-type-1,,awarded,2026-08-04T04:04:20.876641+00:00
PWA,กปภ.ฉช.5/2567,จ้างก่อสร้างงานวางท่อขยายเขตจำหน่ายน้ำ บริเวณซอยศรีโสธรตัดใหม่ 18 เชื่อมถนนประชาสรรค์ ตำบลหน้าเมือง อำเภอเมืองฉะเชิงเทรา จังหวัดฉะเชิงเทรา,,,1254040.0,1250000.0,หจก.อ.การประปา,,unknown,works,,,,,,https://eprocurement.pwa.co.th/report/conclude-type-1,,awarded,2026-08-04T04:04:20.876686+00:00
PWA,611/2569,งานวางท่อขยายเขตจำหน่ายน้ำสำหรับบริษัท เอเวอร์ซิตี้ ดีเวลลอปเม้นท์ จำกัด โครงการเอวาริส ราชพฤกษ์ตัดใหม่ เฟส4 บริเวณถนนซอยคลองเจ้าเมือง ม.7 ต.คลองพระอุดม อ.ลาดหลุมแก้ว จ.ปทุมธานี การประปาส่วนภูมิภาคสาขาปทุมธานี (ชั้นพิเศษ),,,351892.0,314000.0,บริษัท ต้นน้ำ 52 จำกัด,,unknown,works,,,,,,https://eprocurement.pwa.co.th/report/conclude-type-1,,awarded,2026-08-04T04:04:20.876732+00:00
PWA,จ้างเหมาวางท่อขยายเขตจ่ายน้ำปร,จ้างเหมาวางท่อขยายเขตจ่ายน้ำประปาสำหรับบมจ.เก้ามงคล กรุ๊ป โครงการแฮปปี้โฮม (เฟส 3) ม.2 ต.ไร่ขิง อ.สามพราน จ.นครปฐม,,,370020.0,334500.0,ห้างหุ้นส่วนจำกัด ส.ธนานันท์ การช่าง เสนอ,,unknown,works,,,,,,https://eprocurement.pwa.co.th/report/conclude-type-1,,awarded,2026-08-04T04:04:20.876777+00:00
PWA,จ้างก่อสร้างงานวางท่อขยายเขตจำ,จ้างก่อสร้างงานวางท่อขยายเขตจำหน่ายน้ำประปา จากบ้านนายคณิต วงษ์เทเวศร์ ไปทางบ้านนายรังสรรค์ ทาสี หมู่ที่ 10 บ้านพระคือ ตำบลพระลับ อำเภอเมืองขอนแก่น จังหวัดขอนแก่น การประปาส่วนภูมิภาคสาขาขอนแก่น(ชั้นพิเศษ) (งานงบ อปท.),,,243806.0,243442.83,หจก.ทองแท้ คอนสตรัคชั่น,,unknown,works,,,,,,https://eprocurement.pwa.co.th/report/conclude-type-1,,awarded,2026-08-04T04:04:20.876846+00:00
PWA,จ้างเหมางานซ่อมถังน้ำใสขนาด 10,"จ้างเหมางานซ่อมถังน้ำใสขนาด 10,000 ลบ.ม. รหัสสินทรัพย์ 2226072 สถานีจ่ายน้ำสำราญ กปภ.สาขาขอนแก่น(พ)",,,421045.0,421045.0,บจ.เอเชียน เทค แอนด์ เอ็นจิเนียริ่ง,,unknown,works,,,,,,https://eprocurement.pwa.co.th/report/conclude-type-1,,awarded,2026-08-04T04:04:20.876918+00:00
PWA,7/2569,งานบำรุงรักษาเครื่องจักรระบบผลิตและระบบไฟฟ้า (งานซ่อมแซมเครื่องจักรกล) เครื่องกวาดตะกอน(ขวา) รหัสสินทรัพย์ 1078427,,,595348.0,,"บมจ.สยามซินดิเคทเทคโนโลยี/561,750 บาท",,unknown,works,,,,,,https://eprocurement.pwa.co.th/report/conclude-type-1,,awarded,2026-08-04T04:04:20.876960+00:00
PWA,8/2569,งานบำรุงรักษาเครื่องจักรระบบผลิตและระบบไฟฟ้า (งานซ่อมแซมเครื่องจักรกล)  เครื่องกวาดตะกอน (ซ้าย) รหัสสินทรัพย์ 1078428,,,595348.0,,"บมจ.สยามซินดิเคทเทคโนโลยี/561,750 บาท",,unknown,works,,,,,,https://eprocurement.pwa.co.th/report/conclude-type-1,,awarded,2026-08-04T04:04:20.877001+00:00
